,benchmark,target,total_iterations,threads,terms,series,start_rate,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,workers,precision,messages_per_worker,write_percentage,num_workers,grid_size,priorities,threshold,size,solution_limit,pings,haircuts,waiting_room_size,production_rate,haircut_rate,pieces,left,right,eating_rounds,philosophers,actors,size_percentage,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,data_length,block_threshold,messages,accounts,transactions,block_size,max_edge_weight,rounds,smokers,data_size,max_value,seed,columns,simulations,channels
0,Logistic Map Series,lf-c,12,1,25000.0,10.0,3.46,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Logistic Map Series,lf-c,12,1,25000.0,10.0,3.46,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Precise Pi Computation,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Concurrent Dictionary,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,20.0,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,A-Star Search,lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Precise Pi Computation,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,A-Star Search,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,NQueens first N solutions,lf-c,12,1,,,,NP,inf,inf,inf,inf,,,,,20.0,,10.0,4.0,12.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ping Pong,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sleeping Barber,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Trapezoidal Approximation,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,100.0,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Philosophers,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
12,Thread Ring,lf-c,12,1,,,,NP,inf,inf,inf,inf,,,,,,,,,,,1000000.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
13,Concurrent Dictionary,lf-c,12,12,,,,NP,inf,inf,inf,inf,20.0,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Precise Pi Computation,lf-c,12,12,,,,NP,inf,inf,inf,inf,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Concurrent Sorted Linked List,lf-c,12,12,,,,NP,inf,inf,inf,inf,20.0,,1500.0,10.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
16,Chameneos,lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,
17,Producer Consumer (bounded),lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,
18,Recursive Matrix Multiplication,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,20.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,,
19,Producer Consumer (bounded),lf-c,12,1,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,
20,Producer Consumer (bounded),lf-c,12,12,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,
21,Fork Join (throughput),lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,10000.0,,,,,,,,,,,,
22,Trapezoidal Approximation,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,100.0,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Thread Ring,lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,,,,,,,1000000.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
24,Concurrent Dictionary,lf-c,12,1,,,,NP,inf,inf,inf,inf,20.0,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,NQueens first N solutions,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,,,,,20.0,,10.0,4.0,12.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Bank Transaction,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,
27,All-Pairs Shortest Path,lf-c,12,1,,,,GEDF_NP,248.205,250.138,249.3715,249.25141666666664,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,
28,Logistic Map Series,lf-c,12,12,25000.0,10.0,3.46,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Cigarette Smokers,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,
30,Thread Ring,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,1000000.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
